URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,0.0559199134199134,,0.0559199134199134,0.36417748917748904,514.0,0.9416342412451362,243.26536964980548,514.0,484,514,6.77431906614786,0,7.095330739299611
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,,,-0.08051948051948052,0.33636363636363636,58.0,0.9137931034482759,59.751724137931035,58.0,53,58,4.5,0,6.396551724137931
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,,,-0.08051948051948052,0.33636363636363636,57.0,0.8771929824561403,57.887719298245614,57.0,50,57,4.368421052631579,0,6.175438596491228
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,,,-0.08051948051948052,0.33636363636363636,58.0,0.896551724137931,59.06206896551725,58.0,52,58,4.517241379310345,0,6.293103448275862
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,, ,-0.08051948051948052,0.33636363636363636,58.0,0.9137931034482759,59.751724137931035,58.0,53,58,4.551724137931035,0,6.448275862068965
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,,,-0.08051948051948052,0.33636363636363636,57.0,0.8771929824561403,57.887719298245614,57.0,50,57,4.473684210526316,0,6.280701754385965
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,,,0.0036363636363636377,0.32545454545454544,61.0,0.9180327868852459,61.12131147540984,61.0,56,61,4.622950819672131,0,6.311475409836065
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,,,-0.07045454545454545,0.2943181818181818,59.0,0.9152542372881356,60.21016949152543,59.0,54,59,4.677966101694915,0,6.423728813559322
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,,,-0.08051948051948052,0.33636363636363636,64.0,0.921875,62.475,64.0,59,64,4.6875,0,6.4375
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,,,-0.08051948051948052,0.33636363636363636,59.0,0.864406779661017,58.17627118644069,59.0,51,59,4.5423728813559325,0,6.288135593220339
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,,,-0.08051948051948052,0.33636363636363636,62.0,0.9032258064516129,60.92903225806452,62.0,56,62,4.806451612903226,0,6.467741935483871
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,,,0.05709728867623603,0.4130582137161085,404.0,0.9653465346534653,200.21386138613863,404.0,390,404,5.717821782178218,2,6.452970297029703
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,,,0.0842177937005523,0.4121025526197941,272.0,0.9558823529411765,147.03529411764708,272.0,260,272,5.713235294117647,1,6.422794117647059
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,,,0.10133522727272729,0.46997159090909096,156.0,0.9487179487179487,100.34871794871795,156.0,148,156,5.602564102564102,0,6.455128205128205
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,,,0.07014553429027112,0.3997906698564594,396.0,0.9343434343434344,195.7737373737374,396.0,370,396,5.44949494949495,12,6.4772727272727275
bctech2026,https://insights.blackcoffer.com/text-summarizing-tool-to-scrape-and-summarize-pubmed-medical-papers/,,,0.18289177489177497,0.4879047619047618,344.0,0.8982558139534884,173.53023255813957,344.0,309,344,6.02906976744186,5,6.575581395348837
bctech2027,https://insights.blackcoffer.com/7up7down-10updown-snakes-and-ladder-games-built-using-oops/,,,0.056303030303030285,0.37066666666666664,327.0,0.9694189602446484,169.57675840978595,327.0,317,327,5.813455657492355,5,6.373088685015291
bctech2028,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function/,,,0.081002331002331,0.4885317673779211,428.0,0.9649532710280374,209.7981308411215,428.0,413,428,5.981308411214953,1,6.5514018691588785
bctech2029,https://insights.blackcoffer.com/end-to-end-tool-to-optimize-routing-and-planning-of-field-engineers-using-googles-cvrp-tw-algorithm/,,,0.12175324675324674,0.5257359307359307,366.0,0.9371584699453552,183.88633879781423,366.0,343,366,6.256830601092896,9,6.647540983606557
bctech2030,https://insights.blackcoffer.com/end-to-end-tool-to-predict-biofuel-prices-using-ieso-data/,,,0.12064879564879567,0.3991452991452991,413.0,0.9709443099273608,204.03777239709444,413.0,401,413,5.886198547215496,5,6.520581113801453
bctech2031,https://insights.blackcoffer.com/etl-discovery-tool-using-llma-langchain-openai/,,,0.09123543123543121,0.4003574203574202,466.0,0.9463519313304721,224.2540772532189,466.0,441,466,5.663090128755365,6,6.463519313304721
bctech2032,https://insights.blackcoffer.com/gpt-ocr-api/,,,0.0002754820936639035,0.371625344352617,168.0,0.9047619047619048,103.39047619047619,168.0,152,168,4.303571428571429,4,5.833333333333333
